graphene pi-band tight-binding, a=2.46 Ang, t=-2.7 eV
2
5
    1    1    1    1    1
   -1    0    0    1    1  0.000000000000  0.000000000000
   -1    0    0    2    1  0.000000000000  0.000000000000
   -1    0    0    1    2 -2.700000000000  0.000000000000
   -1    0    0    2    2  0.000000000000  0.000000000000
    0   -1    0    1    1  0.000000000000  0.000000000000
    0   -1    0    2    1  0.000000000000  0.000000000000
    0   -1    0    1    2 -2.700000000000  0.000000000000
    0   -1    0    2    2  0.000000000000  0.000000000000
    0    0    0    1    1  0.000000000000  0.000000000000
    0    0    0    2    1 -2.700000000000 -0.000000000000
    0    0    0    1    2 -2.700000000000  0.000000000000
    0    0    0    2    2  0.000000000000  0.000000000000
    0    1    0    1    1  0.000000000000 -0.000000000000
    0    1    0    2    1 -2.700000000000 -0.000000000000
    0    1    0    1    2  0.000000000000 -0.000000000000
    0    1    0    2    2  0.000000000000 -0.000000000000
    1    0    0    1    1  0.000000000000 -0.000000000000
    1    0    0    2    1 -2.700000000000 -0.000000000000
    1    0    0    1    2  0.000000000000 -0.000000000000
    1    0    0    2    2  0.000000000000 -0.000000000000
